time;realDistance;rssi;espId
1707223965822;0;-44;1
1707223966853;0;-45;1
1707223967869;0;-45;1
1707223968901;0;-48;1
1707223969911;0;-47;1
1707223970917;0;-45;1
1707223971925;0;-47;1
1707223972939;0;-48;1
1707223973955;0;-43;1
1707223974960;0;-45;1
1707223983370;2;-73;1
1707223984397;2;-68;1
1707223985416;2;-64;1
1707223986429;2;-62;1
1707223987443;2;-59;1
1707223988469;2;-60;1
1707223989489;2;-60;1
1707223990504;2;-65;1
1707223991524;2;-66;1
1707223992548;2;-62;1
1707224000766;4;-68;1
1707224001794;4;-72;1
1707224002820;4;-71;1
1707224003842;4;-71;1
1707224004858;4;-70;1
1707224005894;4;-77;1
1707224006907;4;-74;1
1707224007936;4;-75;1
1707224008957;4;-73;1
1707224009984;4;-73;1
1707224024478;6;-69;1
1707224025498;6;-63;1
1707224026518;6;-63;1
1707224027535;6;-63;1
1707224028551;6;-69;1
1707224029569;6;-72;1
1707224030602;6;-64;1
1707224031622;6;-66;1
1707224032638;6;-71;1
1707224033655;6;-66;1
1707224041117;8;-69;1
1707224042135;8;-69;1
1707224043150;8;-81;1
1707224044168;8;-71;1
1707224045181;8;-71;1
1707224046201;8;-72;1
1707224047226;8;-71;1
1707224048244;8;-71;1
1707224049263;8;-71;1
1707224050280;8;-73;1
1707224056737;10;-73;1
1707224057755;10;-78;1
1707224058779;10;-65;1
1707224059796;10;-69;1
1707224060813;10;-89;1
1707224061839;10;-79;1
1707224062851;10;-78;1
1707224063867;10;-71;1
1707224064887;10;-73;1
1707224065903;10;-72;1
1707224076685;12;-96;1
1707224077718;12;-96;1
1707224078738;12;-78;1
1707224079756;12;-71;1
1707224080782;12;-70;1
1707224081797;12;-70;1
1707224082818;12;-70;1
1707224083838;12;-85;1
1707224084856;12;-85;1
1707224085871;12;-79;1
1707224092106;14;-80;1
1707224093129;14;-79;1
1707224094150;14;-79;1
1707224095176;14;-83;1
1707224096197;14;-85;1
1707224097216;14;-85;1
1707224098238;14;-85;1
1707224099252;14;-85;1
1707224100274;14;-85;1
1707224101291;14;-85;1
1707224108331;16;-76;1
1707224109341;16;-84;1
1707224110357;16;-85;1
1707224111373;16;-78;1
1707224112388;16;-78;1
1707224113414;16;-80;1
1707224114433;16;-85;1
1707224115469;16;-85;1
1707224116492;16;-86;1
1707224117524;16;-82;1
1707224124031;18;-84;1
1707224125073;18;-84;1
1707224126089;18;-84;1
1707224127107;18;-84;1
1707224128129;18;-84;1
1707224129147;18;-76;1
1707224130168;18;-76;1
1707224131188;18;-77;1
1707224132207;18;-77;1
1707224133224;18;-80;1
1707224141348;20;-80;1
1707224142382;20;-80;1
1707224143404;20;-84;1
1707224144423;20;-84;1
1707224145444;20;-84;1
1707224146465;20;-88;1
1707224147482;20;-85;1
1707224148508;20;-85;1
1707224149527;20;-79;1
1707224150540;20;-86;1
1707224157960;25;-90;1
1707224158975;25;-90;1
1707224159996;25;-90;1
1707224161021;25;-90;1
1707224162042;25;-90;1
1707224163061;25;-90;1
1707224164076;25;-90;1
1707224165091;25;-90;1
1707224166112;25;-90;1
1707224167133;25;-93;1
1707224176614;30;-91;1
1707224177630;30;-91;1
1707224178652;30;-91;1
1707224179674;30;-82;1
1707224180695;30;-82;1
1707224181717;30;-83;1
1707224182739;30;-89;1
1707224183763;30;-89;1
1707224184784;30;-89;1
1707224185807;30;-89;1
1707224195723;35;-89;1
1707224196734;35;-89;1
1707224197757;35;-89;1
1707224198778;35;-89;1
1707224199798;35;-89;1
1707224200819;35;-89;1
1707224201846;35;-89;1
1707224202870;35;-89;1
1707224203893;35;-89;1
1707224204915;35;-91;1
1707224221010;40;-90;1
1707224222037;40;-90;1
1707224223062;40;-90;1
1707224224084;40;-90;1
1707224225106;40;-90;1
1707224226128;40;-90;1
1707224227150;40;-90;1
1707224228171;40;-90;1
1707224229195;40;-90;1
1707224230212;40;-90;1
1707224247246;45;-90;1
1707224248256;45;-90;1
1707224249279;45;-90;1
1707224250303;45;-90;1
1707224251325;45;-90;1
1707224252347;45;-90;1
1707224253368;45;-90;1
1707224254388;45;-90;1
1707224255415;45;-90;1
1707224256437;45;-90;1
1707224264568;50;-90;1
1707224265598;50;-90;1
1707224266621;50;-90;1
1707224267643;50;-90;1
1707224268667;50;-90;1
1707224269690;50;-90;1
1707224270715;50;-90;1
1707224271737;50;-90;1
1707224272759;50;-90;1
1707224273779;50;-90;1
1707224286637;60;-90;1
1707224287680;60;-90;1
1707224288701;60;-90;1
1707224289723;60;-90;1
1707224290746;60;-90;1
1707224291770;60;-90;1
1707224292793;60;-90;1
1707224293819;60;-90;1
1707224294840;60;-90;1
1707224295861;60;-90;1
1707224308953;70;-90;1
1707224309963;70;-90;1
1707224310985;70;-90;1
1707224312005;70;-90;1
1707224313029;70;-90;1
1707224314051;70;-90;1
1707224315073;70;-90;1
1707224316096;70;-90;1
1707224317118;70;-90;1
1707224318138;70;-90;1
1707224331834;80;-90;1
1707224332845;80;-90;1
1707224333867;80;-90;1
1707224334888;80;-90;1
1707224335911;80;-90;1
1707224336932;80;-90;1
1707224337954;80;-90;1
1707224338975;80;-90;1
1707224339994;80;-90;1
1707224341018;80;-90;1
1707224354450;90;-90;1
1707224355460;90;-90;1
1707224356481;90;-90;1
1707224357504;90;-90;1
1707224358526;90;-90;1
1707224359546;90;-90;1
1707224360569;90;-90;1
1707224361586;90;-90;1
1707224362607;90;-90;1
1707224363629;90;-90;1
1707224375481;100;-90;1
1707224376491;100;-90;1
1707224377514;100;-90;1
1707224378533;100;-90;1
1707224379551;100;-90;1
1707224380573;100;-90;1
1707224381596;100;-90;1
1707224382619;100;-90;1
1707224383641;100;-90;1
1707224384660;100;-90;1
1707223965824;0;-38;2
1707223966860;0;-38;2
1707223967875;0;-39;2
1707223968905;0;-39;2
1707223969914;0;-42;2
1707223970920;0;-39;2
1707223971930;0;-42;2
1707223972945;0;-38;2
1707223973957;0;-39;2
1707223974963;0;-39;2
1707223983374;2;-62;2
1707223984401;2;-53;2
1707223985420;2;-51;2
1707223986435;2;-52;2
1707223987448;2;-52;2
1707223988476;2;-51;2
1707223989495;2;-51;2
1707223990512;2;-51;2
1707223991530;2;-51;2
1707223992551;2;-51;2
1707224000771;4;-60;2
1707224001799;4;-62;2
1707224002830;4;-68;2
1707224003847;4;-65;2
1707224004867;4;-61;2
1707224005899;4;-61;2
1707224006913;4;-65;2
1707224007945;4;-63;2
1707224008963;4;-62;2
1707224009988;4;-62;2
1707224024483;6;-76;2
1707224025503;6;-67;2
1707224026526;6;-67;2
1707224027542;6;-67;2
1707224028558;6;-68;2
1707224029575;6;-67;2
1707224030606;6;-67;2
1707224031627;6;-71;2
1707224032646;6;-66;2
1707224033659;6;-67;2
1707224041122;8;-67;2
1707224042141;8;-66;2
1707224043156;8;-71;2
1707224044172;8;-71;2
1707224045187;8;-66;2
1707224046205;8;-67;2
1707224047235;8;-66;2
1707224048251;8;-67;2
1707224049270;8;-68;2
1707224050286;8;-67;2
1707224056742;10;-68;2
1707224057761;10;-68;2
1707224058784;10;-64;2
1707224059802;10;-72;2
1707224060818;10;-68;2
1707224061843;10;-71;2
1707224062858;10;-67;2
1707224063875;10;-71;2
1707224064892;10;-66;2
1707224065910;10;-69;2
1707224076689;12;-71;2
1707224077727;12;-71;2
1707224078745;12;-71;2
1707224079764;12;-86;2
1707224080787;12;-78;2
1707224081805;12;-68;2
1707224082826;12;-69;2
1707224083846;12;-82;2
1707224084862;12;-70;2
1707224085879;12;-70;2
1707224092114;14;-81;2
1707224093138;14;-87;2
1707224094159;14;-87;2
1707224095184;14;-87;2
1707224096205;14;-87;2
1707224097224;14;-87;2
1707224098242;14;-87;2
1707224099261;14;-87;2
1707224100279;14;-87;2
1707224101298;14;-84;2
1707224108334;16;-77;2
1707224109348;16;-85;2
1707224110363;16;-75;2
1707224111378;16;-72;2
1707224112401;16;-72;2
1707224113422;16;-77;2
1707224114442;16;-82;2
1707224115480;16;-88;2
1707224116499;16;-82;2
1707224117529;16;-80;2
1707224124038;18;-88;2
1707224125080;18;-79;2
1707224126096;18;-79;2
1707224127117;18;-78;2
1707224128136;18;-77;2
1707224129156;18;-75;2
1707224130178;18;-83;2
1707224131194;18;-86;2
1707224132214;18;-79;2
1707224133230;18;-83;2
1707224141356;20;-81;2
1707224142391;20;-81;2
1707224143412;20;-84;2
1707224144431;20;-84;2
1707224145453;20;-84;2
1707224146471;20;-87;2
1707224147493;20;-87;2
1707224148517;20;-87;2
1707224149531;20;-87;2
1707224150552;20;-87;2
1707224157963;25;-81;2
1707224158983;25;-81;2
1707224160006;25;-81;2
1707224161030;25;-81;2
1707224162050;25;-81;2
1707224163067;25;-81;2
1707224164081;25;-81;2
1707224165100;25;-81;2
1707224166121;25;-81;2
1707224167140;25;-89;2
1707224176617;30;-86;2
1707224177639;30;-86;2
1707224178661;30;-86;2
1707224179682;30;-86;2
1707224180703;30;-86;2
1707224181726;30;-86;2
1707224182747;30;-86;2
1707224183772;30;-86;2
1707224184794;30;-86;2
1707224185816;30;-86;2
1707224195725;35;-84;2
1707224196743;35;-84;2
1707224197765;35;-84;2
1707224198787;35;-84;2
1707224199806;35;-84;2
1707224200829;35;-83;2
1707224201855;35;-83;2
1707224202879;35;-83;2
1707224203903;35;-83;2
1707224204925;35;-83;2
1707224221019;40;-90;2
1707224222047;40;-90;2
1707224223071;40;-90;2
1707224224093;40;-90;2
1707224225114;40;-90;2
1707224226137;40;-90;2
1707224227159;40;-90;2
1707224228182;40;-90;2
1707224229201;40;-90;2
1707224230221;40;-90;2
1707224247248;45;-84;2
1707224248266;45;-84;2
1707224249289;45;-84;2
1707224250311;45;-76;2
1707224251333;45;-76;2
1707224252356;45;-75;2
1707224253376;45;-75;2
1707224254401;45;-88;2
1707224255424;45;-88;2
1707224256446;45;-88;2
1707224264576;50;-89;2
1707224265607;50;-89;2
1707224266630;50;-89;2
1707224267653;50;-89;2
1707224268675;50;-89;2
1707224269700;50;-89;2
1707224270723;50;-89;2
1707224271746;50;-89;2
1707224272766;50;-89;2
1707224273788;50;-89;2
1707224286642;60;-86;2
1707224287689;60;-86;2
1707224288709;60;-86;2
1707224289733;60;-86;2
1707224290755;60;-86;2
1707224291779;60;-86;2
1707224292805;60;-86;2
1707224293827;60;-86;2
1707224294848;60;-86;2
1707224295870;60;-86;2
1707224308955;70;-86;2
1707224309971;70;-86;2
1707224310993;70;-86;2
1707224312013;70;-86;2
1707224313038;70;-86;2
1707224314060;70;-86;2
1707224315082;70;-86;2
1707224316104;70;-86;2
1707224317126;70;-86;2
1707224318146;70;-86;2
1707224331836;80;-86;2
1707224332854;80;-86;2
1707224333875;80;-86;2
1707224334897;80;-86;2
1707224335918;80;-86;2
1707224336941;80;-86;2
1707224337963;80;-86;2
1707224338982;80;-86;2
1707224340005;80;-86;2
1707224341025;80;-86;2
1707224354452;90;-86;2
1707224355469;90;-86;2
1707224356491;90;-86;2
1707224357513;90;-86;2
1707224358534;90;-86;2
1707224359555;90;-86;2
1707224360576;90;-86;2
1707224361594;90;-86;2
1707224362615;90;-86;2
1707224363637;90;-86;2
1707224375483;100;-94;2
1707224376500;100;-94;2
1707224377523;100;-94;2
1707224378540;100;-94;2
1707224379560;100;-94;2
1707224380584;100;-94;2
1707224381605;100;-94;2
1707224382627;100;-94;2
1707224383649;100;-94;2
1707224384667;100;-94;2
1707223965823;0;-49;3
1707223965825;0;-43;4
1707223966857;0;-48;3
1707223966863;0;-44;4
1707223967871;0;-48;3
1707223967878;0;-47;4
1707223968902;0;-50;3
1707223968908;0;-44;4
1707223969912;0;-50;3
1707223969915;0;-43;4
1707223970919;0;-48;3
1707223970921;0;-42;4
1707223971927;0;-58;3
1707223971933;0;-44;4
1707223972942;0;-46;3
1707223972947;0;-45;4
1707223973956;0;-44;3
1707223973958;0;-46;4
1707223974961;0;-48;3
1707223974965;0;-42;4
1707223983372;2;-59;3
1707223983377;2;-59;4
1707223984399;2;-56;3
1707223984403;2;-54;4
1707223985417;2;-58;3
1707223985423;2;-55;4
1707223986432;2;-53;3
1707223986437;2;-61;4
1707223987446;2;-56;3
1707223987450;2;-61;4
1707223988473;2;-53;3
1707223988480;2;-55;4
1707223989492;2;-56;3
1707223989498;2;-64;4
1707223990508;2;-53;3
1707223990517;2;-63;4
1707223991527;2;-56;3
1707223991536;2;-55;4
1707223992550;2;-53;3
1707223992553;2;-65;4
1707224000768;4;-80;3
1707224000773;4;-67;4
1707224001797;4;-82;3
1707224001802;4;-68;4
1707224002825;4;-65;3
1707224002834;4;-66;4
1707224003844;4;-66;3
1707224003851;4;-67;4
1707224004862;4;-64;3
1707224004870;4;-65;4
1707224005897;4;-70;3
1707224005901;4;-70;4
1707224006910;4;-65;3
1707224006916;4;-66;4
1707224007940;4;-71;3
1707224007950;4;-65;4
1707224008961;4;-71;3
1707224008966;4;-66;4
1707224009986;4;-69;3
1707224009990;4;-67;4
1707224024481;6;-70;3
1707224024485;6;-76;4
1707224025500;6;-66;3
1707224025507;6;-64;4
1707224026523;6;-67;3
1707224026529;6;-70;4
1707224027538;6;-67;3
1707224027544;6;-62;4
1707224028553;6;-75;3
1707224028562;6;-80;4
1707224029572;6;-69;3
1707224029578;6;-65;4
1707224030604;6;-77;3
1707224030609;6;-62;4
1707224031624;6;-75;3
1707224031631;6;-70;4
1707224032642;6;-69;3
1707224032650;6;-70;4
1707224033657;6;-75;3
1707224033663;6;-71;4
1707224041120;8;-71;3
1707224041125;8;-68;4
1707224042138;8;-73;3
1707224042143;8;-73;4
1707224043153;8;-73;3
1707224043159;8;-73;4
1707224044170;8;-73;3
1707224044176;8;-73;4
1707224045184;8;-73;3
1707224045193;8;-69;4
1707224046203;8;-71;3
1707224046207;8;-68;4
1707224047230;8;-74;3
1707224047239;8;-67;4
1707224048248;8;-72;3
1707224048255;8;-71;4
1707224049267;8;-72;3
1707224049273;8;-77;4
1707224050283;8;-72;3
1707224050290;8;-70;4
1707224056740;10;-72;3
1707224056744;10;-70;4
1707224057759;10;-80;3
1707224057764;10;-71;4
1707224058781;10;-74;3
1707224058789;10;-71;4
1707224059799;10;-77;3
1707224059804;10;-73;4
1707224060816;10;-76;3
1707224060821;10;-72;4
1707224061841;10;-84;3
1707224061845;10;-78;4
1707224062854;10;-71;3
1707224062861;10;-67;4
1707224063871;10;-70;3
1707224063880;10;-72;4
1707224064889;10;-76;3
1707224064896;10;-71;4
1707224065906;10;-73;3
1707224065913;10;-78;4
1707224076687;12;-80;3
1707224076692;12;-86;4
1707224077723;12;-79;3
1707224077731;12;-77;4
1707224078741;12;-77;3
1707224078750;12;-77;4
1707224079761;12;-77;3
1707224079766;12;-77;4
1707224080785;12;-78;3
1707224080790;12;-78;4
1707224081801;12;-83;3
1707224081810;12;-78;4
1707224082822;12;-83;3
1707224082830;12;-78;4
1707224083842;12;-83;3
1707224083850;12;-75;4
1707224084859;12;-83;3
1707224084866;12;-78;4
1707224085874;12;-79;3
1707224085883;12;-78;4
1707224092109;14;-78;3
1707224092117;14;-78;4
1707224093134;14;-78;3
1707224093142;14;-78;4
1707224094155;14;-78;3
1707224094164;14;-80;4
1707224095180;14;-76;3
1707224095188;14;-82;4
1707224096201;14;-76;3
1707224096209;14;-82;4
1707224097220;14;-76;3
1707224097228;14;-81;4
1707224098239;14;-83;3
1707224098244;14;-81;4
1707224099256;14;-83;3
1707224099265;14;-79;4
1707224100276;14;-83;3
1707224100281;14;-76;4
1707224101295;14;-76;3
1707224101300;14;-81;4
1707224108332;16;-74;3
1707224108335;16;-76;4
1707224109344;16;-83;3
1707224109351;16;-78;4
1707224110360;16;-84;3
1707224110367;16;-78;4
1707224111376;16;-84;3
1707224111381;16;-74;4
1707224112395;16;-84;3
1707224112407;16;-74;4
1707224113417;16;-76;3
1707224113426;16;-74;4
1707224114437;16;-76;3
1707224114447;16;-87;4
1707224115475;16;-76;3
1707224115484;16;-81;4
1707224116496;16;-73;3
1707224116502;16;-78;4
1707224117526;16;-73;3
1707224117531;16;-79;4
1707224124034;18;-78;3
1707224124041;18;-81;4
1707224125077;18;-78;3
1707224125082;18;-76;4
1707224126092;18;-83;3
1707224126099;18;-76;4
1707224127112;18;-83;3
1707224127122;18;-74;4
1707224128133;18;-82;3
1707224128139;18;-78;4
1707224129152;18;-88;3
1707224129161;18;-78;4
1707224130173;18;-79;3
1707224130182;18;-77;4
1707224131191;18;-81;3
1707224131196;18;-77;4
1707224132211;18;-83;3
1707224132217;18;-78;4
1707224133227;18;-77;3
1707224133234;18;-80;4
1707224141352;20;-86;3
1707224141358;20;-83;4
1707224142386;20;-86;3
1707224142395;20;-84;4
1707224143408;20;-86;3
1707224143417;20;-84;4
1707224144427;20;-86;3
1707224144435;20;-82;4
1707224145449;20;-89;3
1707224145457;20;-82;4
1707224146468;20;-89;3
1707224146474;20;-82;4
1707224147489;20;-89;3
1707224147497;20;-82;4
1707224148513;20;-86;3
1707224148521;20;-85;4
1707224149529;20;-86;3
1707224149533;20;-85;4
1707224150544;20;-86;3
1707224150556;20;-85;4
1707224157962;25;-89;3
1707224157964;25;-91;4
1707224158980;25;-89;3
1707224158987;25;-91;4
1707224160000;25;-89;3
1707224160010;25;-91;4
1707224161025;25;-89;3
1707224161034;25;-91;4
1707224162046;25;-89;3
1707224162053;25;-91;4
1707224163065;25;-93;3
1707224163070;25;-91;4
1707224164079;25;-93;3
1707224164083;25;-91;4
1707224165096;25;-93;3
1707224165104;25;-91;4
1707224166117;25;-93;3
1707224166126;25;-91;4
1707224167136;25;-93;3
1707224167144;25;-85;4
1707224176615;30;-86;3
1707224176618;30;-87;4
1707224177635;30;-86;3
1707224177643;30;-87;4
1707224178657;30;-86;3
1707224178666;30;-87;4
1707224179678;30;-86;3
1707224179685;30;-87;4
1707224180699;30;-86;3
1707224180708;30;-87;4
1707224181722;30;-86;3
1707224181730;30;-87;4
1707224182743;30;-84;3
1707224182751;30;-87;4
1707224183768;30;-84;3
1707224183776;30;-87;4
1707224184788;30;-84;3
1707224184799;30;-87;4
1707224185812;30;-84;3
1707224185821;30;-87;4
1707224195724;35;-90;3
1707224195726;35;-83;4
1707224196739;35;-90;3
1707224196748;35;-83;4
1707224197761;35;-90;3
1707224197769;35;-83;4
1707224198782;35;-90;3
1707224198790;35;-83;4
1707224199802;35;-90;3
1707224199811;35;-83;4
1707224200824;35;-89;3
1707224200834;35;-83;4
1707224201851;35;-90;3
1707224201859;35;-83;4
1707224202875;35;-90;3
1707224202884;35;-83;4
1707224203898;35;-90;3
1707224203907;35;-83;4
1707224204921;35;-90;3
1707224204929;35;-83;4
1707224221015;40;-88;3
1707224221022;40;-83;4
1707224222042;40;-88;3
1707224222053;40;-83;4
1707224223066;40;-88;3
1707224223075;40;-83;4
1707224224089;40;-88;3
1707224224097;40;-83;4
1707224225110;40;-88;3
1707224225119;40;-83;4
1707224226133;40;-88;3
1707224226141;40;-83;4
1707224227154;40;-88;3
1707224227163;40;-83;4
1707224228177;40;-88;3
1707224228186;40;-83;4
1707224229198;40;-88;3
1707224229204;40;-83;4
1707224230216;40;-88;3
1707224230225;40;-83;4
1707224247247;45;-88;3
1707224247249;45;-83;4
1707224248262;45;-88;3
1707224248270;45;-83;4
1707224249283;45;-88;3
1707224249294;45;-83;4
1707224250307;45;-88;3
1707224250315;45;-83;4
1707224251329;45;-88;3
1707224251338;45;-83;4
1707224252351;45;-88;3
1707224252359;45;-80;4
1707224253372;45;-88;3
1707224253380;45;-83;4
1707224254397;45;-88;3
1707224254405;45;-83;4
1707224255419;45;-88;3
1707224255428;45;-83;4
1707224256442;45;-88;3
1707224256450;45;-83;4
1707224264572;50;-88;3
1707224264582;50;-86;4
1707224265603;50;-88;3
1707224265613;50;-86;4
1707224266625;50;-88;3
1707224266634;50;-86;4
1707224267648;50;-88;3
1707224267657;50;-86;4
1707224268671;50;-88;3
1707224268680;50;-86;4
1707224269695;50;-88;3
1707224269704;50;-86;4
1707224270719;50;-88;3
1707224270727;50;-86;4
1707224271742;50;-88;3
1707224271750;50;-91;4
1707224272763;50;-88;3
1707224272769;50;-91;4
1707224273783;50;-88;3
1707224273792;50;-91;4
1707224286639;60;-88;3
1707224286644;60;-91;4
1707224287684;60;-88;3
1707224287693;60;-91;4
1707224288705;60;-88;3
1707224288713;60;-91;4
1707224289728;60;-88;3
1707224289737;60;-91;4
1707224290751;60;-88;3
1707224290760;60;-91;4
1707224291775;60;-88;3
1707224291783;60;-91;4
1707224292798;60;-88;3
1707224292809;60;-91;4
1707224293823;60;-88;3
1707224293831;60;-91;4
1707224294844;60;-88;3
1707224294853;60;-91;4
1707224295865;60;-88;3
1707224295874;60;-91;4
1707224308954;70;-88;3
1707224308956;70;-91;4
1707224309967;70;-88;3
1707224309976;70;-91;4
1707224310989;70;-88;3
1707224310997;70;-91;4
1707224312009;70;-88;3
1707224312019;70;-91;4
1707224313033;70;-88;3
1707224313042;70;-91;4
1707224314055;70;-88;3
1707224314064;70;-91;4
1707224315078;70;-88;3
1707224315086;70;-91;4
1707224316100;70;-88;3
1707224316109;70;-91;4
1707224317122;70;-88;3
1707224317130;70;-91;4
1707224318142;70;-88;3
1707224318150;70;-91;4
1707224331835;80;-88;3
1707224331837;80;-91;4
1707224332850;80;-88;3
1707224332858;80;-91;4
1707224333871;80;-88;3
1707224333879;80;-91;4
1707224334893;80;-88;3
1707224334902;80;-91;4
1707224335915;80;-88;3
1707224335922;80;-91;4
1707224336936;80;-88;3
1707224336945;80;-91;4
1707224337959;80;-88;3
1707224337967;80;-91;4
1707224338979;80;-88;3
1707224338986;80;-91;4
1707224339999;80;-88;3
1707224340010;80;-91;4
1707224341022;80;-88;3
1707224341027;80;-91;4
1707224354451;90;-88;3
1707224354453;90;-91;4
1707224355465;90;-88;3
1707224355473;90;-91;4
1707224356486;90;-88;3
1707224356495;90;-91;4
1707224357509;90;-88;3
1707224357517;90;-91;4
1707224358530;90;-88;3
1707224358538;90;-91;4
1707224359550;90;-88;3
1707224359560;90;-91;4
1707224360572;90;-88;3
1707224360579;90;-91;4
1707224361590;90;-88;3
1707224361598;90;-91;4
1707224362611;90;-88;3
1707224362620;90;-91;4
1707224363633;90;-88;3
1707224363640;90;-91;4
1707224375482;100;-88;3
1707224375484;100;-91;4
1707224376496;100;-88;3
1707224376505;100;-91;4
1707224377519;100;-88;3
1707224377527;100;-91;4
1707224378537;100;-94;3
1707224378543;100;-91;4
1707224379556;100;-94;3
1707224379564;100;-91;4
1707224380578;100;-94;3
1707224380588;100;-91;4
1707224381600;100;-94;3
1707224381609;100;-91;4
1707224382623;100;-94;3
1707224382632;100;-91;4
1707224383645;100;-94;3
1707224383653;100;-91;4
1707224384664;100;-94;3
1707224384671;100;-91;4
